team,elo,matches_played,wins,draws,losses,points_per_match_all,goals_scored_all,goals_conceded_all,goal_diff_all,abs_goal_diff_all,total_goals_all,clean_sheet_rate_all,failed_to_score_rate_all,both_teams_scored_rate_all,low_scoring_rate_all,tight_match_rate_all,scoreless_draw_rate_all,win_rate_all,draw_rate_all,loss_rate_all,weighted_points_per_match_all,weighted_goal_diff_all,elo_delta_avg_all,win_streak,unbeaten_streak,recent_matches,recent_form_10,recent_goal_diff_10,recent_abs_goal_diff_10,recent_goals_scored_10,recent_goals_conceded_10,recent_total_goals_10,recent_win_rate_10,recent_draw_rate_10,recent_loss_rate_10,recent_clean_sheet_rate_10,recent_failed_to_score_rate_10,recent_both_teams_scored_rate_10,recent_low_scoring_rate_10,recent_tight_match_rate_10,recent_scoreless_draw_rate_10,recent_weighted_form_10,recent_weighted_goal_diff_10,recent_opponent_elo_avg_10,recent_elo_delta_avg_10,last_match_date
Uruguay,1860.5328124800487,319,143,91,85,1.6300940438871474,1.5203761755485894,1.0626959247648904,0.45768025078369906,1.341692789968652,2.58307210031348,0.38557993730407525,0.2507836990595611,0.4702194357366771,0.5235109717868338,0.6426332288401254,0.10658307210031348,0.4482758620689655,0.2852664576802508,0.2664576802507837,1.5933991917377752,0.4067130669061533,1.1301969043261706,0.0,2.0,10.0,1.6,0.1,1.3,1.0,0.9,1.9,0.4,0.4,0.2,0.6,0.4,0.3,0.7,0.6,0.3,1.6449999999999998,0.2950000000000001,1770.3459421800883,-0.9440359831846056,2026-03-31
Turkey,1849.5650932797287,311,151,77,83,1.7041800643086817,1.5916398713826367,1.1286173633440515,0.4630225080385852,1.427652733118971,2.720257234726688,0.36977491961414793,0.24115755627009647,0.4662379421221865,0.49517684887459806,0.6045016077170418,0.07717041800643087,0.4855305466237942,0.24758842443729903,0.26688102893890675,1.7023087836966388,0.4654972268799186,1.1240035153689065,4.0,8.0,10.0,2.5,1.2,2.4,2.5,1.3,3.8,0.8,0.1,0.1,0.4,0.1,0.5,0.3,0.5,0.0,2.442307692307693,1.0500000000000003,1700.3954674119202,6.8179914717691945,2026-06-06
Iran,1848.3941873344238,352,212,83,57,2.0426136363636362,1.9289772727272727,0.75,1.1789772727272727,1.6448863636363635,2.678977272727273,0.5085227272727273,0.17329545454545456,0.40625,0.5426136363636364,0.6363636363636364,0.08806818181818182,0.6022727272727273,0.23579545454545456,0.16193181818181818,2.021482530689343,1.1614730878186998,0.9897562140182511,3.0,3.0,10.0,1.7,1.1,1.7,1.7,0.6,2.3,0.5,0.2,0.3,0.6,0.3,0.3,0.5,0.5,0.2,1.724358974358974,1.1794871794871795,1650.2752006245464,-2.6435203507436134,2026-06-04
Switzerland,1844.1933914534432,286,132,81,73,1.667832167832168,1.6573426573426573,1.0804195804195804,0.5769230769230769,1.4090909090909092,2.737762237762238,0.35664335664335667,0.22377622377622378,0.5034965034965035,0.506993006993007,0.6188811188811189,0.08391608391608392,0.46153846153846156,0.28321678321678323,0.25524475524475526,1.6674796747967515,0.5525745257452584,1.2034733966903575,0.0,3.0,10.0,1.9,1.4,1.6,2.2,0.8,3.0,0.5,0.4,0.1,0.5,0.2,0.5,0.5,0.5,0.2,2.0695652173913044,1.6347826086956525,1733.8634813680183,3.608256552892823,2026-06-06
Belgium,1840.4243004412915,286,158,63,65,1.8776223776223777,1.9895104895104896,1.0454545454545454,0.9440559440559441,1.7482517482517483,3.034965034965035,0.3811188811188811,0.1888111888111888,0.479020979020979,0.4755244755244755,0.527972027972028,0.04895104895104895,0.5524475524475524,0.2202797202797203,0.22727272727272727,1.9087523277467435,0.9841713221601492,1.1902947567877247,2.0,13.0,10.0,2.4,3.1,3.1,3.7,0.6,4.3,0.7,0.3,0.0,0.6,0.1,0.4,0.4,0.3,0.1,2.3739130434782614,3.2565217391304353,1545.271332815515,2.774782643351311,2026-06-06
Senegal,1839.7666483545731,308,162,89,57,1.8668831168831168,1.5292207792207793,0.8084415584415584,0.7207792207792207,1.2662337662337662,2.3376623376623376,0.45454545454545453,0.22402597402597402,0.42857142857142855,0.6071428571428571,0.6363636363636364,0.10714285714285714,0.525974025974026,0.288961038961039,0.18506493506493507,1.8662713300254241,0.7387147525111967,1.1031384686836792,0.0,1.0,10.0,2.0,0.7,1.5,1.6,0.9,2.5,0.6,0.2,0.2,0.5,0.2,0.4,0.5,0.5,0.1,2.093750000000001,0.68125,1671.4221388943224,-0.23229991815947929,2026-06-09
Italy,1837.399443272702,328,176,93,59,1.8932926829268293,1.6341463414634145,0.8689024390243902,0.7652439024390244,1.3567073170731707,2.5030487804878048,0.4268292682926829,0.1798780487804878,0.4725609756097561,0.573170731707317,0.6189024390243902,0.07926829268292683,0.5365853658536586,0.28353658536585363,0.1798780487804878,1.909376754632235,0.7638405390230218,1.0286568392460451,2.0,4.0,10.0,2.5,1.4,2.0,2.4,1.0,3.4,0.8,0.1,0.1,0.6,0.0,0.4,0.5,0.4,0.0,2.442307692307693,1.4461538461538463,1528.140371608204,-0.6064078222605124,2026-06-07
Norway,1836.1331058609073,281,126,69,86,1.5907473309608542,1.491103202846975,1.0569395017793595,0.43416370106761565,1.4448398576512456,2.5480427046263343,0.3665480427046263,0.2704626334519573,0.44483985765124556,0.5409252669039146,0.6548042704626335,0.08185053380782918,0.4483985765124555,0.24555160142348753,0.30604982206405695,1.60080515297907,0.4723027375201297,1.1962032237042965,0.0,3.0,10.0,2.1,2.3,2.5,3.1,0.8,3.9,0.6,0.3,0.1,0.3,0.1,0.7,0.4,0.5,0.1,2.3699999999999997,3.1850000000000005,1680.4153280498026,5.155098434621645,2026-06-07
United States,1830.4433816687745,423,230,80,113,1.8203309692671394,1.7541371158392436,0.9881796690307328,0.7659574468085106,1.6548463356973995,2.7423167848699763,0.425531914893617,0.19621749408983452,0.44208037825059104,0.5035460992907801,0.5815602836879432,0.06382978723404255,0.5437352245862884,0.18912529550827423,0.26713947990543735,1.8592552520061392,0.8242719321972785,0.7811900275857497,0.0,0.0,10.0,1.6,0.1,1.7,1.8,1.7,3.5,0.5,0.1,0.4,0.1,0.2,0.7,0.4,0.5,0.0,1.5999999999999994,0.09999999999999995,1864.1840564548106,1.9416743800373482,2026-06-06
Australia,1830.258836964229,296,159,61,76,1.8175675675675675,2.070945945945946,0.9290540540540541,1.1418918918918919,2.0,3.0,0.4527027027027027,0.22297297297297297,0.40202702702702703,0.4864864864864865,0.5777027027027027,0.0777027027027027,0.5371621621621622,0.20608108108108109,0.25675675675675674,1.7875573018991584,1.1039947609692233,1.1157393140683445,0.0,1.0,10.0,1.6,0.3,1.5,1.3,1.0,2.3,0.5,0.1,0.4,0.3,0.3,0.4,0.6,0.7,0.0,1.5588235294117643,0.2647058823529412,1780.7870998787184,-0.6428595248632135,2026-06-06
